fighter_id,name,elo,fight_count
f7a7f7118d4b01b6,Lyoto Machida,1101.6973336150706,24
7cbf7c78d3b34218,Drakkar Klose,1101.1725021306765,13
9b7694d064a8a0ad,Rustam Khabilov,1100.7222487751826,13
093e1f5bb73850be,Anthony Hernandez,1100.527002186513,12
fc169c387b4b465d,Raquel Pennington,1099.8430629642567,19
fc08099550072fe4,Waldo Cortes Acosta,1099.539913663386,13
b6452706b373eea1,Renato Moicano,1099.4119364477779,20
0aa92558424ced9e,Randy Couture,1099.39203175707,24
b9f28e7045fdfce7,Raoni Barcelos,1099.2330441324402,15
efb96bf3e9ada36f,Song Yadong,1099.0596784514546,16
80eacd4da0617c57,Joseph Benavidez,1098.005778249452,21
24656ef4d605c96f,Aiemann Zahabi,1097.8006341771172,10
b1a3e0aca758b322,Derek Brunson,1097.2972074161,21
dd6103dd7127db1d,Mike Malott,1095.9292891706068,8
1338e2c7480bdf9e,Israel Adesanya,1095.6008213315874,19
c1085e1701b13eca,Joe Pyfer,1095.1325800077125,8
8f765fd5775a8873,Rinat Fakhretdinov,1095.1003982713269,7
72db2a14ffa73ece,Mateusz Gamrot,1094.8710412466758,13
8a1f3b5c526cd6e6,Daniel Rodriguez,1094.2411907995697,14
f14cf73e51b29254,Sergei Pavlovich,1094.1157761208726,11
a09ed60aa67a3f67,Farid Basharat,1094.0125612867064,6
1e4f273069fb9e85,Fares Ziam,1093.787727975145,10
d3df1add9d9a7efb,Derrick Lewis,1093.7332741548662,31
d3f5d33d61cd00c9,Norma Dumont,1092.510108856401,12
97cf1a2c7c5e7889,Steve Garcia,1092.3468317225568,10
492b202d2064e7a9,Fabricio Werdum,1092.2560454796492,18
429e7d3725852ce9,Royce Gracie,1091.6418591530978,10
cb139171ed1b69fe,Kenny Florian,1091.518907132172,17
a9e260472d321361,Jasmine Jasudavicius,1090.6339811843725,12
7826923b47f8d72a,Paddy Pimblett,1090.4494248894914,8
84ff027394f7e470,Gregor Gillespie,1089.8213405214542,8
87aa9fb63d6b51a1,Zabit Magomedsharipov,1089.4163695657196,6
f626118b6da0e020,Bryan Battle,1089.4008678221483,9
1f454354805b6f75,Anderson Silva,1089.0905080157718,25
a390eb8a9b2df298,Chuck Liddell,1088.6365725412636,23
4461d7e47375a895,Tatsuro Taira,1087.3006510440553,10
7dda2cf308f24a02,Virna Jandiroba,1087.1322598676895,13
01641ba5df0c69b0,Gabriel Bonfim,1086.9782228902025,7
47b63240018d5d86,Rose Namajunas,1086.8568452704878,19
b9437600497350f3,Joaquin Buckley,1086.0099831886278,17
6a740daf1b279661,Maycee Barber,1085.9572342274146,12
a26198ba5093147e,TJ Grant,1085.5371007932163,11
902ab9197b83d0db,Phil Davis,1085.2211210014173,13
